message,intent
"hey, there's too many steps to do simple things asap!",complaint_normal
"hey, the new checkout flow has an extra unnecessary step!",complaint_normal
issue: i'm a customer for life now — you've won me over :(,positive
i'm locked out of my account.,account_access
just a note — the app isn't as good as it used to be please.,complaint_normal
question: you've restored my faith in good customer service! :(,positive
"hey, the live chat widget doesn't open asap!",technical_issue
"hey, my saved preferences have been reset :(",account_access
"fyi, i've been waiting 2 weeks for my refund ugh.",billing_issue
urgent: please add a dark theme for the mobile app too.,feature_request
just a note — this is outrageous behavior from a supposed professional company :(,complaint_angry
issue: can you add drag and drop support? please.,feature_request
just a note — could you add integration with google drive? ugh.,feature_request
just a note — great app — the best tool i've used in years asap!,positive
urgent: this has gone from bad to worse — completely unacceptable help!,complaint_angry
urgent: the login page says my account doesn't exist please.,account_access
issue: the dashboard takes a while to load every time.,complaint_normal
just a note — i can't disable two-factor authentication thanks.,account_access
urgent: maps aren't loading in the app please.,technical_issue
please help — i'm blown away by how good this product is!,positive
"hello, i can't remember my login email ugh.",account_access
you make everything so simple — thank you! !!,positive
best customer support experience i've ever had.,positive
"hi, i'm sick and tired of this nonsense!!! help!",complaint_angry
"hello, STOP IGNORING ME — I NEED THIS FIXED NOW!!! ugh.",complaint_angry
update: can you add qr code scanning in the mobile app? !!,feature_request
update: it would be nice to have offline mode,complaint_normal
just a note — i'm writign a formal complaint letter!,complaint_angry
just a note — the subscription price is a bit high !!,complaint_normal
my refund still hasn't arrived.,billing_issue
please help — the documentation is not very helpful help!,complaint_normal
question: i dispute this charge completely please.,billing_issue
urgent: this has gone from bad to worse — completely unacceptable ugh.,complaint_angry
"hey, incredibly happy with the service — truly top tier!",positive
"hello, worst decsiion i ever made was signing up with you asap!",complaint_angry
question: please add quick reply options for common responses thanks.,feature_request
"hello, happy to be a long-term customer of yours.",positive
"fyi, the app uses a lot of data on mobile",complaint_normal
just a note — the graph on the reports page won't load,technical_issue
urgent: the performance has degraded since last month ugh.,complaint_normal
"hey, something went wrong error appears constantly :(",technical_issue
"hey, can you add qr code scanning in the mobile app? thanks.",feature_request
urgent: i dispute this charge completely help!,billing_issue
please help — i need to close my account !!,account_access
"hey, please add a custom notification sound option thanks.",feature_request
just a not e— can you add a calendar view for tasks? asap!,feature_request
just a note—  please fix the billing error on my account :(,billing_issue
"hello, it would be great to have better search filters",feature_request
"hello, some menu items are hard to find please.",complaint_normal
"hey, the subscription price is a bit high",complaint_normal
"fyi, just wanted to say — excellent work! keep it up! help!",positive
"fyi, the app is quite slow and laggy lately asap!",complaint_normal
please help — the app freezes after a few seconds ugh.,technical_issue
"hello, i'm trying to recover my old account ugh.",account_access
issue: the app keeps logging me out randomly ugh.,technical_issue
just a note — the dashboard takes a while to load every time !!,complaint_normal
issue: something went wrong error appears constantly.,technical_issue
update: some menu items are hard to find ugh.,complaint_normal
urgent: app keeps crashing every time i open it thanks.,technical_issue
just a note — there's an unauthorized charge on my credit card !!,billing_issue
update: i'd love real-time collaboration features :(,feature_request
"hello, i changed my email but can't access the old one to verify.",account_access
"hi, please add undo functionality for deleted items !!",feature_request
"fyi, error every time i try to load the page thanks.",technical_issue
update: the mobile app is extremely slow!,technical_issue
"hello, i am completely fed up with your terrible service thanks.",complaint_angry
question: you have wasted hours of my time and it's unacceptable!,complaint_angry
issue: i've never been so angry at a company before asap!,complaint_angry
please help — every interaction with your team has been a disaster thanks.,complaint_angry
"hey, i have been overcharged by $20 !!",billing_issue
please help — my payment failed but you still charged me.,billing_issue
issue: i'm blown away by how good this product is help!,positive
just a note — i want to know why i was charged a cancellation fee asap!,billing_issue
"hey, i'd like to see an itemized bill!",billing_issue
question: absolutely horrible experience from start to finish!!! please.,complaint_angry
question: the tutorial wasn't very helpful for beginners.,complaint_normal
the toolbar disappeared after the update asap!,technical_issue
issue: the mobile app is extremely slow !!,technical_issue
"hi, my settingsa ren't saving !!",technical_issue
my account was deactivated by mistake :(,account_access
"hey, you've lost me as a customer with this appalling service asap!",complaint_angry
update: i need to dispute a charge from last month help!,billing_issue
"hey, i can't disable two-factor authentication :(",account_access
i'm sick and tired of this nonsense!!! asap!,complaint_angry
"fyi, worst deciison i ever made was signing up with you!",complaint_angry
"hey, i'd love a feature to pin important message shelp!",feature_request
"hi, please add support for multiple languages help!",feature_request
issue: how long does account recovery take? :(,account_access
update: can you add qr code scanning in the mobile app? help!,feature_request
urgent: i cancelled my plan but still got charged please.,billing_issue
just a note — this is the most frustrating experience of my life,complaint_angry
"hi, my profile data is missing after login thanks.",account_access
issue: how dare you treat paying customers this way! asap!,complaint_angry
question: my free trial ended but you charged me without warning asap!,billing_issue
update: this is outrageous behavior from a supposed professional company.,complaint_angry
urgent: the multi-language support is lacking !!,complaint_normal
"hi,i  need to close my account!",account_access
the dark mode toggle broke the layout thanks.,technical_issue
urgent: i'm sick and tired of this nonsense!!!!,complaint_angry
issue: i need a refund asap :(,billing_issue
please help — the reports don't always match expectations,complaint_normal
"hey, could you add a shared calendar feature? please.",feature_request
"hey, the feature i need most is buriedi n menus ugh.",complaint_normal
please help — please help me regain access to my account please.,account_access
"hey, i keep getting a 500 server error!",technical_issue
please help — hte documentation is not very helpful please.,complaint_normal
"hello, you guys are absolutely amazing — keep it up! ugh.",positive
just a note — you really listen to user feedback and it shows!,positive
"hello, i've never had this good an experience with any saas product !!",positive
"hey, can't connect to the service today.",technical_issue
"hello, i'd like to see better keyboard shortcuts.",complaint_normal
update: please add a two-colum nlayout option.,feature_request
update: the design is beautiful and the app is very intuitive!,positive
"hello, i'd love to see a bulk export feature please.",feature_request
"fyi, can you add a feature to export to excel? asap!",feature_request
update: the search results aren't very accurate asap!,complaint_normal
the website is down i think thanks.,technical_issue
just a note — been a customer for 3 years — still love every bit of it :(,positive
"hi, this charge is incorrect — fix it asap!",billing_issue
"hello, i've never had this good an experience with an ysaas product :(",positive
urgent: i'd love a feature to pin important messages thanks.,feature_request
"hello, i'm beyond angry and you need to fix this immediately!!! !!",complaint_angry
question: th evideo player won't load.,technical_issue
urgent: i miss the old layout — the new one is harder to use!,complaint_normal
just a note — the new update is brilliant — well done team! ugh.,positive
urgent: you have wasted enough of my time — fix it NOW!!! please.,complaint_angry
please add a notifications digest (daily summary) :(,feature_request
update: can you add a print option to reports?,feature_request
"top-notch everything — service, product, and support ugh.",positive
"fyi, can't connect to the service today help!",technical_issue
issue: incredibly happy with the service — truly top tier!,positive
"hello, my account email was changed by someone else thanks.",account_access
please help — i'd love a feature to pin important messages please.,feature_request
