message,intent,should_escalate
just a note — send me a corrected invoice please help!,billing_issue,False
please help — i can't send messages — they just fail ugh.,technical_issue,False
issue: you clearly don't care about your customers AT ALL help!,complaint_angry,False
question: why did you charge my card twice?!,billing_issue,False
please remove the late payment charge ugh.,billing_issue,False
your company is a disgrace — i'll be leaving a review help!,complaint_angry,False
please add a way to archive old messages thank.s,feature_request,True
update: i can't log in from a new device.,account_access,False
"hello, i'd love real-time collaboration features ugh.",feature_request,True
the search results aren't very accurate.,complaint_normal,False
"fyi, you charegd me after i requested cancellation ugh.",billing_issue,False
"fyi, thank you — this solved my problem instantly asap!",positive,False
please help — my promo code didn't apply to my bill thanks.,billing_issue,False
update: i was charged twice for the same order !!,billing_issue,False
every interaction with your team has been a disaster help!,complaint_angry,False
question: you've lost me as a customer with this appalling service.,complaint_angry,True
"urgent: i want a full refund, not a credit ugh.",billing_issue,False
please help — incredibly happy with the service — truly top tier,positive,False
update: the dashboard takes a whil eto load every time.,complaint_normal,False
"fyi, refund hasn't shown u pin my bank yet.",billing_issue,False
issue: it would be helpful to have a guest access mode :(,feature_request,True
update: i was sceptical at first but i'm absolutely converted help!,positive,False
question: can you add a print option to reports?,feature_request,True
"hi, i'm being charged for something i cancelled :(",billing_issue,False
issue: i rarely write reviesw but you deserve it — 5 stars! :(,positive,False
"hello, i'd love a feature to pin important messages asap!",feature_request,True
issue: the sync isn't working between my devices !!,technical_issue,False
update: i need to merge two accounts ugh.,account_access,False
"hey, you really listen to user feedback and it shows.",positive,False
"hi, your service is an insult to paying customers!!! thanks.",complaint_angry,False
the download fails every time help!,technical_issue,False
i demand immediate action — this is unacceptable!!! thanks.,complaint_angry,True
update: best customer support experience i've ever had ugh.,positive,False
"hello,w orst decision i ever made was signing up with you asap!",complaint_angry,False
update: it would help to have a reading mode help!,feature_request,True
"fyi, i want a full refund, not a credit",billing_issue,False
"fyi, please add a custom notification sound option!",feature_request,True
the filter options aren't working,technical_issue,False
"hi, my account was deactivated by mistake.",account_access,False
"fyi, the interface is a bit confusing to navigate :(",complaint_normal,False
"hey, the email notifications ar etoo frequent!",complaint_normal,False
"fyi, i want my money back now :(",billing_issue,False
issue: app keeps crashing every time i open it please.,technical_issue,False
update: my account is locked — please help :(,account_access,False
update: i love how responsive the team is to user suggestions!,positive,False
how do i delete my account?!,account_access,False
"hey, the support team was incredibly helpful and friendly.",positive,False
question: i'd love to see version history for documents help!,feature_request,True
question: please add a custom notification sound option help!,feature_request,True
"hello, can you add a print option to reports? tahnks.",feature_request,True
issue: please add na option to hide the sidebar help!,feature_request,True
i didn't receive the password reset email ugh.,account_access,False
update: genuinely the best app in its category help!,positive,False
"fyi, the sync isn't working between my devices asap!",technical_issue,False
"hey, my account is showing as inactive",account_access,False
"fyi, i changed my password but it's not working please.",account_access,False
please help — myr efund still hasn't arrived help!,billing_issue,False
"hi, the api returns a 503 error thanks.",technical_issue,False
the camera feature crashes the app instantly help!,technical_issue,False
"fyi, i'd like to see bettre keyboard shortcuts.",complaint_normal,False
"hi, i want to know why i was charged a cancellation fee help!",billing_issue,False
"hey, there's too much advertising in the interface!",complaint_normal,False
this is absolutely ridiculous! i've been waiting weeks!!,complaint_angry,True
issue: i need to recover my username.,account_access,False
issue: i can't believe how awful this experience has been!!!!,complaint_angry,True
"hey, you've restored my faith in good customer service! asap!",positive,False
please help — absolutely horrible experience from start to finish!!! :(,complaint_angry,True
"hi, i'd love to see version history for documents please.",feature_request,True
"hi, i didn't receive the password reset email help!",account_access,False
"issue: top-notch everything — service, product, and support asap!",positive,False
issue: i need to dispute a charge from last month.,billing_issue,False
just a note — notifications aren't working on my phone please.,technical_issue,False
update: why is my bill higher than expected? asap!,billing_issue,False
question: your billing system has an error ugh.,billing_issue,False
just a note — absolutely horrible experience from start to finish!!! :(,complaint_angry,True
"hey, i don't like the new design at all ugh.",complaint_normal,False
urgent: your app is the best investment i've made all year,positive,False
"hi, the new update removed features i relied on !!",complaint_normal,False
"hey, i DEMAND a full refund for this disaster of a service :(",complaint_angry,False
"hey, i found a bug on the checkout page!",technical_issue,False
urgent: can you add a split view for multitasking? asap!,feature_request,True
issue: please add a night mode that turns on automatically!,feature_request,True
